,frequency,docIDs
заквітчанийзакосичений,1,[0]
грудастий,1,[0]
пирскає,1,[0]
дзвін,12,"[0, 1, 3, 4, 7, 8, 10, 11, 13, 14, 15, 17]"
уповні,2,"[0, 1]"
розв'язання,2,"[0, 7]"
їскає,1,[0]
городському,2,"[0, 14]"
невже,16,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]"
пастки,2,"[0, 3]"
набивали,2,"[0, 7]"
порозкидати,1,[0]
начувайся,3,"[0, 9, 15]"
якби,16,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
млява,1,[0]
звучання,2,"[0, 8]"
радгоспні,1,[0]
діти,15,"[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
пильно,10,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 12]"
кінчається,3,"[0, 3, 10]"
плюнув,6,"[0, 4, 5, 8, 15, 17]"
густими,4,"[0, 1, 4, 17]"
вірьовки,2,"[0, 5]"
бікін,1,[0]
безрогі,2,"[0, 7]"
шию,13,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 15, 17]"
насмілиться,1,[0]
пилюку,2,"[0, 11]"
попиячили,1,[0]
думці,8,"[0, 1, 4, 5, 7, 10, 15, 17]"
вважати,4,"[0, 1, 7, 10]"
мандрівникові,1,[0]
недосяжне,1,[0]
околицю,3,"[0, 1, 4]"
згадаю,7,"[0, 4, 7, 8, 9, 11, 17]"
вб'єш,3,"[0, 5, 14]"
спіткало,4,"[0, 4, 8, 10]"
упоравшись,5,"[0, 4, 5, 8, 15]"
сідлали,2,"[0, 8]"
порається,2,"[0, 4]"
схоплювались,2,"[0, 10]"
хмурив,1,[0]
розполохані,1,[0]
зводить,7,"[0, 4, 8, 9, 10, 11, 16]"
слухом,1,[0]
янголи,4,"[0, 4, 11, 17]"
наспівував,1,[0]
накази,3,"[0, 1, 7]"
десять,13,"[0, 1, 3, 4, 5, 7, 8, 10, 12, 14, 15, 16, 17]"
нахиливши,1,[0]
озимині,1,[0]
зачудовані,1,[0]
дай,17,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
спритна,1,[0]
українську,4,"[0, 5, 8, 14]"
собачім,1,[0]
прокльони,3,"[0, 4, 7]"
походження,5,"[0, 1, 7, 10, 14]"
асоціацій,1,[0]
витребеньки,2,"[0, 16]"
завинену,1,[0]
ми,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
рудіє,1,[0]
занудився,2,"[0, 11]"
ялиці,2,"[0, 1]"
розмалювала,2,"[0, 4]"
всунула,1,[0]
здивувались,3,"[0, 10, 17]"
іпритом,1,[0]
будь,16,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
скалозубством,1,[0]
жертву,5,"[0, 1, 7, 8, 10]"
голу,5,"[0, 5, 8, 11, 17]"
смужечки,1,[0]
роззявила,2,"[0, 17]"
буфетом,1,[0]
випуску,1,[0]
дєло,1,[0]
двадцятий,2,"[0, 11]"
витріщивши,5,"[0, 1, 4, 7, 8]"
угб,1,[0]
чуб,4,"[0, 11, 14, 16]"
жаринки,3,"[0, 10, 15]"
ізюбрів,1,[0]
неабияким,3,"[0, 7, 8]"
благословеннім,1,[0]
еврика,1,[0]
фальцетовий,1,[0]
минаючії,1,[0]
розморозитись,1,[0]
родина,5,"[0, 8, 10, 11, 15]"
батьків,9,"[0, 1, 4, 5, 7, 8, 10, 14, 17]"
приторочено,1,[0]
починали,5,"[0, 4, 7, 10, 14]"
планшетками,1,[0]
подвиг,4,"[0, 8, 10, 11]"
страшніший,2,"[0, 5]"
ветеранові,1,[0]
заґратованої,1,[0]
лінії,2,"[0, 10]"
мелькали,3,"[0, 4, 8]"
поверх,8,"[0, 1, 4, 7, 9, 10, 11, 12]"
темніше,1,[0]
якнайбільше,3,"[0, 1, 7]"
заполює,1,[0]
залляті,1,[0]
раніш,4,"[0, 10, 11, 12]"
тельбухами,1,[0]
тривог,2,"[0, 10]"
лук,4,"[0, 1, 4, 5]"
шпалою,1,[0]
пароплав,2,"[0, 10]"
товаришки,3,"[0, 4, 7]"
лісової,2,"[0, 1]"
зимовим,1,[0]
шляху,10,"[0, 1, 4, 5, 8, 10, 11, 12, 13, 17]"
снігів,1,[0]
віком,3,"[0, 1, 8]"
заїло,1,[0]
заливая,1,[0]
панують,3,"[0, 4, 8]"
ізюбрі,1,[0]
ясного,6,"[0, 1, 4, 5, 7, 10]"
мільярди,1,[0]
пряло,1,[0]
зірвались,2,"[0, 4]"
мальована,4,"[0, 5, 8, 10]"
обманюєте,1,[0]
менший,7,"[0, 1, 4, 5, 7, 8, 17]"
адной,1,[0]
навести,3,"[0, 4, 8]"
наступало,1,[0]
лі,2,"[0, 14]"
боровся,4,"[0, 10, 11, 15]"
тямлячи,2,"[0, 7]"
морожене,1,[0]
рибу,8,"[0, 1, 4, 5, 8, 9, 11, 16]"
пригадавши,5,"[0, 4, 7, 10, 12]"
стінах,12,"[0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 13, 17]"
стрільбище,1,[0]
журилась,3,"[0, 8, 11]"
всеросійських,1,[0]
припізнились,1,[0]
трудно,10,"[0, 1, 4, 7, 8, 9, 10, 14, 15, 17]"
хрести,6,"[0, 4, 5, 8, 11, 17]"
гнаний,2,"[0, 10]"
квач,2,"[0, 14]"
лицем,8,"[0, 1, 3, 4, 7, 11, 15, 17]"
прямовисні,1,[0]
рвонулась,2,"[0, 11]"
до,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
довгій,5,"[0, 7, 8, 9, 12]"
страхітне,1,[0]
биту,2,"[0, 8]"
напишу,4,"[0, 4, 10, 16]"
шпигнула,1,[0]
безумний,4,"[0, 1, 7, 13]"
метеликодноденка,1,[0]
набійниці,1,[0]
дикункою,1,[0]
чардаку,1,[0]
постукав,6,"[0, 4, 6, 10, 12, 14]"
прагнути,2,"[0, 10]"
спробувати,3,"[0, 1, 12]"
велетенська,4,"[0, 10, 11, 15]"
руба,2,"[0, 4]"
туди,16,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
переміг,2,"[0, 5]"
клопоті,2,"[0, 10]"
втопишся,2,"[0, 17]"
поновому,2,"[0, 8]"
ліпшої,3,"[0, 1, 5]"
привіт,5,"[0, 1, 3, 4, 7]"
веліли,2,"[0, 1]"
виду,8,"[0, 1, 4, 5, 7, 9, 12, 17]"
кудою,4,"[0, 1, 15, 17]"
двін,1,[0]
меридіани,1,[0]
лісу,13,"[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17]"
фотографій,3,"[0, 10, 13]"
помирав,1,[0]
встряли,1,[0]
завірюху,2,"[0, 7]"
перерізані,1,[0]
чиєї,2,"[0, 11]"
нині,8,"[0, 1, 7, 8, 10, 11, 13, 15]"
крутили,5,"[0, 1, 4, 11, 17]"
пхххається,1,[0]
ролі,1,[0]
латами,1,[0]
барклаїв,1,[0]
абажурів,1,[0]
суглобах,2,"[0, 10]"
обличчя,11,"[0, 3, 4, 6, 7, 9, 10, 11, 12, 14, 15]"
передмістям,1,[0]
арештантську,1,[0]
цікаву,5,"[0, 7, 10, 14, 16]"
пролетів,2,"[0, 17]"
отакийо,2,"[0, 12]"
дззіінь,1,[0]
плаї,1,[0]
спізнилися,1,[0]
бирка,1,[0]
горлянці,2,"[0, 4]"
гартована,1,[0]
заробляти,6,"[0, 1, 4, 5, 8, 17]"
скиглити,1,[0]
знане,1,[0]
стрибала,2,"[0, 4]"
загарчав,2,"[0, 14]"
заметушилась,1,[0]
лащились,1,[0]
сміються,11,"[0, 4, 5, 7, 8, 10, 11, 12, 13, 14, 17]"
мотузку,3,"[0, 7, 9]"
фотокіно,1,[0]
нетрищ,1,[0]
звечора,8,"[0, 4, 7, 9, 10, 11, 12, 17]"
планети,2,"[0, 13]"
прокляття,4,"[0, 1, 10, 14]"
кругленька,2,"[0, 4]"
течуть,4,"[0, 3, 5, 8]"
паска,3,"[0, 4, 17]"
чирим,1,[0]
заамурської,1,[0]
кис,2,"[0, 4]"
вхопили,2,"[0, 1]"
танцю,4,"[0, 7, 10, 15]"
щезав,2,"[0, 15]"
уповноважені,1,[0]
виструнчився,1,[0]
бур'яну,2,"[0, 4]"
відголосками,1,[0]
снігові,1,[0]
стати,12,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 14]"
вимощуючи,1,[0]
