,frequency,docIDs
похмурому,1,[10]
керівної,1,[10]
чубуки,1,[10]
назв,1,[10]
задоволенні,1,[10]
пільги,1,[10]
потупившись,1,[10]
вірником,1,[10]
платні,1,[10]
стомлено,1,[10]
здибалися,1,[10]
розумінь,1,[10]
рисах,1,[10]
комірцями,1,[10]
збуджував,1,[10]
адміністративні,1,[10]
огріхів,1,[10]
степанів,1,[10]
розтлумачив,1,[10]
вишукані,1,[10]
уявного,1,[10]
сотням,1,[10]
неозорим,1,[10]
свіжість,1,[10]
симфонічним,1,[10]
чіпкий,1,[10]
відсторонила,1,[10]
портретне,1,[10]
усвідомлюючи,1,[10]
бережно,1,[10]
видиво,1,[10]
роздоріжжя,1,[10]
притулків,1,[10]
брильянтами,1,[10]
ганяю,1,[10]
збувся,1,[10]
мізинця,1,[10]
експонатами,1,[10]
переіспитувати,1,[10]
візників,1,[10]
антракт,1,[10]
шинка,1,[10]
тоскні,2,"[10, 11]"
поговірки,1,[10]
з'єднавшись,1,[10]
розстебнувши,1,[10]
виробленої,1,[10]
збуджувала,1,[10]
гатунках,1,[10]
площинці,1,[10]
здійснювані,1,[10]
неминучим,1,[10]
німувала,1,[10]
сенеку,1,[10]
лотерейниця,1,[10]
чималою,1,[10]
законно,1,[10]
сховище,1,[10]
знаменну,1,[10]
виряджали,1,[10]
вартих,1,[10]
норму,1,[10]
натяк,1,[10]
завмирання,1,[10]
змовами,1,[10]
вишуканих,1,[10]
наражати,1,[10]
хорі,1,[10]
гонорару,1,[10]
інтенсивне,1,[10]
обожнення,1,[10]
маловідповідне,1,[10]
минущого,1,[10]
затаєною,1,[10]
почувалась,1,[10]
пролинула,1,[10]
сигнальні,1,[10]
наліплений,1,[10]
філософськоетичного,1,[10]
шахматов,1,[10]
видавництв,1,[10]
трищоглова,1,[10]
держорганом,1,[10]
незмінний,1,[10]
вільніший,2,"[10, 17]"
іспанського,1,[10]
черкасами,1,[10]
меланхолійні,1,[10]
іржавої,1,[10]
жалка,1,[10]
пригорок,2,"[10, 17]"
клопотом,1,[10]
гнітющим,1,[10]
вставати,3,"[10, 15, 17]"
завданням,1,[10]
монокль,1,[10]
лектором,1,[10]
потягів,1,[10]
пачки,1,[10]
чоловічі,1,[10]
уніформах,1,[10]
потоптані,1,[10]
весняними,1,[10]
тривожному,1,[10]
втратно,1,[10]
кошторисів,1,[10]
півмісячної,1,[10]
діяння,2,"[10, 17]"
проступила,1,[10]
беззмістовні,1,[10]
дивними,1,[10]
вказівки,1,[10]
зародились,1,[10]
фізичну,1,[10]
купаючись,1,[10]
неохайності,1,[10]
офіцерське,1,[10]
об'єктивними,1,[10]
процесів,1,[10]
ницість,1,[10]
закоханих,1,[10]
басок,1,[10]
позики,1,[10]
замислена,2,"[10, 11]"
маловідомі,1,[10]
незмірну,1,[10]
важливіший,1,[10]
звогчив,1,[10]
вигнутим,1,[10]
вправляли,1,[10]
програв,2,"[10, 16]"
долітають,2,"[10, 15]"
петрівської,1,[10]
кошика,1,[10]
надрукування,1,[10]
похолонувши,1,[10]
козир,1,[10]
нашорошені,1,[10]
родові,2,"[10, 15]"
викінченого,1,[10]
гама,1,[10]
глибин,1,[10]
установились,1,[10]
мерзота,1,[10]
бібліотеці,2,"[10, 14]"
народжуючись,1,[10]
саможертву,1,[10]
здушено,1,[10]
знані,1,[10]
трійками,1,[10]
заґратоване,1,[10]
вплине,1,[10]
оспалу,1,[10]
жалісливості,1,[10]
балеті,1,[10]
світобудови,1,[10]
урочисте,1,[10]
підмальовано,1,[10]
безкраєю,1,[10]
дізнаний,1,[10]
обридлих,1,[10]
засипається,1,[10]
штурм,1,[10]
античності,1,[10]
щочверть,1,[10]
кооперативі,1,[10]
відповідником,1,[10]
діловодство,1,[10]
агітація,1,[10]
абсолютно,1,[10]
поглиблювались,1,[10]
репетитором,1,[10]
худеньке,1,[10]
переказ,1,[10]
примусити,1,[10]
вибите,1,[10]
вражають,1,[10]
стихій,1,[10]
цинкографію,1,[10]
неуважного,1,[10]
окрайками,1,[10]
відіпхнув,1,[10]
прояснівши,1,[10]
пропозиції,2,"[10, 14]"
труба,1,[10]
постукати,1,[10]
львівська,1,[10]
ївга,1,[10]
сховища,1,[10]
пуп'янок,1,[10]
будьким,1,[10]
примуси,1,[10]
пахучих,2,"[10, 12]"
креза,1,[10]
подихами,1,[10]
вступайте,1,[10]
сміючого,1,[10]
перебудете,1,[10]
неувагу,1,[10]
джон,1,[10]
службовець,2,"[10, 14]"
невиразному,1,[10]
глиб,2,"[10, 15]"
незграбної,1,[10]
здатливе,1,[10]
витончене,1,[10]
сьогоднізавтра,2,"[10, 14]"
обіцяючи,1,[10]
оплатити,1,[10]
ступенях,1,[10]
нез'ясовне,1,[10]
засліплено,1,[10]
зберегло,1,[10]
громадянства,1,[10]
інструктор,1,[10]
освітлені,1,[10]
декламував,1,[10]
посірів,1,[10]
дитячого,1,[10]
малоцікавими,1,[10]
тхнули,1,[10]
частування,1,[10]
терасі,1,[10]
строкатому,1,[10]
економічних,1,[10]
заздрощів,2,"[10, 15]"
смикався,2,"[10, 12]"
трюкових,1,[10]
обережного,1,[10]
злиденних,1,[10]
складену,2,"[10, 12]"
миколичудотворця,1,[10]
марень,1,[10]
ухвалив,1,[10]
вуличні,1,[10]
дроворуба,1,[10]
питатиме,1,[10]
штовхали,2,"[10, 17]"
розпалюючись,1,[10]
пристаркувата,1,[10]
ганебну,1,[10]
комашня,2,"[10, 17]"
череватим,1,[10]
заворожено,1,[10]
збудивши,1,[10]
нотці,1,[10]
ласкавість,3,"[10, 15, 17]"
невгамовно,1,[10]
купелях,1,[10]
шухляді,1,[10]
пуди,1,[10]
царівен,1,[10]
гнідому,1,[10]
спізнавав,1,[10]
совєтські,1,[10]
близькою,1,[10]
мінус,1,[10]
безславною,1,[10]
прикрашала,1,[10]
провадила,1,[10]
прозірливий,1,[10]
собідостатню,1,[10]
грацією,1,[10]
чужоземні,1,[10]
задньої,1,[10]
лантухами,1,[10]
складноту,1,[10]
сподіваєшся,1,[10]
незручність,1,[10]
образника,1,[10]
видовищ,1,[10]
безглуздою,1,[10]
понімаю,1,[10]
затримуваний,1,[10]
звертаються,1,[10]
загнати,1,[10]
літепло,1,[10]
зубожіння,1,[10]
мокротній,1,[10]
кімнатці,2,"[10, 12]"
невеселих,1,[10]
складок,1,[10]
барабана,1,[10]
змовників,1,[10]
зринувши,1,[10]
обридне,1,[10]
добачаючи,1,[10]
здибались,1,[10]
плаксиво,1,[10]
солоденькою,1,[10]
здобного,1,[10]
санкції,1,[10]
колекцію,1,[10]
здригнулась,4,"[10, 11, 14, 15]"
настерняючисьтаки,1,[10]
чудернацьку,1,[10]
присмачилось,1,[10]
яскравості,1,[10]
трояндочками,1,[10]
віддався,1,[10]
сіросиніми,1,[10]
сласна,1,[10]
заздрити,1,[10]
сприймання,1,[10]
південним,1,[10]
розберуть,1,[10]
проречистості,1,[10]
жадоби,1,[10]
повстання,2,"[10, 11]"
зробитесь,1,[10]
відгукуючись,1,[10]
перепустивши,1,[10]
доводячи,1,[10]
непотріб,1,[10]
обіцяй,1,[10]
сухозлотицю,1,[10]
незмінним,1,[10]
додалась,1,[10]
схилити,1,[10]
купальні,1,[10]
оповістимо,1,[10]
упорядкований,1,[10]
матеріалізації,1,[10]
виникнути,1,[10]
дальшу,1,[10]
коротенькі,1,[10]
дійових,2,"[10, 14]"
припалила,1,[10]
обкладинках,1,[10]
жакетці,1,[10]
турботну,1,[10]
плітками,1,[10]
відродилась,1,[10]
прикрившись,1,[10]
нездар,1,[10]
зрухів,1,[10]
раздягся,1,[10]
скрипаля,1,[10]
самозаперечення,1,[10]
галасливе,1,[10]
міщанська,1,[10]
дратувати,2,"[10, 11]"
пристосовуватись,1,[10]
трактувати,1,[10]
первісне,1,[10]
мрію,3,"[10, 13, 17]"
обмірковуючи,1,[10]
принизливе,1,[10]
ненавидиш,1,[10]
кінчались,2,"[10, 17]"
розкішного,2,"[10, 17]"
інтересами,1,[10]
куцих,2,"[10, 12]"
хлюпіт,1,[10]
літвечірок,1,[10]
літературній,1,[10]
хрещення,2,"[10, 11]"
найпримітивнішої,1,[10]
сторонніми,1,[10]
академічні,1,[10]
черничкою,1,[10]
софізмів,1,[10]
переінакшити,1,[10]
пшеничного,1,[10]
комічним,1,[10]
наявність,1,[10]
прибрана,1,[10]
кав'ярні,1,[10]
грецький,1,[10]
тоскне,1,[10]
адресному,1,[10]
нуртувала,1,[10]
рідкий,1,[10]
пробурчав,2,"[10, 11]"
дешеві,1,[10]
грішниця,2,"[10, 11]"
імен,2,"[10, 11]"
кар'єрі,1,[10]
череду,2,"[10, 17]"
процесі,1,[10]
відтинаючи,1,[10]
вистромлюючись,1,[10]
лячного,1,[10]
липок,1,[10]
негідні,2,"[10, 11]"
балету,1,[10]
потовкти,1,[10]
поточилася,1,[10]
покладати,1,[10]
невиразна,1,[10]
випроставшись,1,[10]
листівок,1,[10]
виснажливу,1,[10]
ялти,1,[10]
командирований,1,[10]
дивацьким,1,[10]
омолодженого,1,[10]
червінцем,1,[10]
якнайпізніше,1,[10]
ліниве,1,[10]
переможником,1,[10]
дріб'язком,1,[10]
домішкою,1,[10]
безконечному,1,[10]
стерня,1,[10]
карлика,1,[10]
поставленої,1,[10]
лавр,2,"[10, 17]"
міцними,1,[10]
вільностей,1,[10]
запобігливо,1,[10]
неналежне,1,[10]
узвіз,1,[10]
publius,1,[10]
троянди,2,"[10, 12]"
стукоту,1,[10]
зраджувався,1,[10]
розлучившись,1,[10]
лячний,1,[10]
телеграф,1,[10]
олівця,1,[10]
розсунутою,1,[10]
законних,1,[10]
мислячи,1,[10]
погодилась,1,[10]
генріх,1,[10]
селюка,1,[10]
лютуючи,1,[10]
встановлений,1,[10]
ображаєте,1,[10]
любовної,1,[10]
платиш,1,[10]
уявну,1,[10]
ближнього,2,"[10, 11]"
навні,1,[10]
схиліться,1,[10]
власник,1,[10]
купецьке,1,[10]
оранжевого,1,[10]
взліссі,1,[10]
недбайливо,1,[10]
перегонових,1,[10]
свитці,1,[10]
дурив,2,"[10, 17]"
згасання,1,[10]
ділянку,1,[10]
інфрачервона,1,[10]
мереживні,1,[10]
пролісок,1,[10]
непричинені,1,[10]
алеях,1,[10]
зміняючи,1,[10]
шлунок,1,[10]
недомисленим,1,[10]
зухвалу,1,[10]
стирав,1,[10]
розривом,1,[10]
псевдонім,1,[10]
ланським,1,[10]
учащихся,1,[10]
стьопо,1,[10]
шари,1,[10]
регламентом,1,[10]
хлопцева,1,[10]
відлюдно,1,[10]
співаків,1,[10]
ходитиме,1,[10]
живій,1,[10]
розчинити,1,[10]
яхти,1,[10]
ганок,1,[10]
нудного,1,[10]
спустошений,1,[10]
купують,2,"[10, 16]"
спізнати,1,[10]
ущухло,1,[10]
вимазано,1,[10]
василівною,1,[10]
оформив,1,[10]
відмовою,1,[10]
закоханим,1,[10]
фронтовому,1,[10]
незалежних,1,[10]
відзнакою,1,[10]
невидним,1,[10]
тихеньким,1,[10]
забороненого,1,[10]
фараоном,1,[10]
лицятись,1,[10]
обранцеві,1,[10]
логаритмами,1,[10]
вщербленого,1,[10]
знайденою,1,[10]
стягла,1,[10]
афішами,1,[10]
комісіонерові,1,[10]
колесування,1,[10]
викидало,1,[10]
посипала,1,[10]
уявила,1,[10]
картатою,1,[10]
категорій,1,[10]
лилося,1,[10]
французька,1,[10]
обчислена,1,[10]
гіршому,1,[10]
цигаркою,1,[10]
коробочок,1,[10]
блідли,2,"[10, 15]"
вчителем,1,[10]
шкіртресту,1,[10]
нестерпучі,1,[10]
панкові,1,[10]
кімнатного,1,[10]
отруйних,1,[10]
розносником,1,[10]
лавочки,1,[10]
обіцянках,1,[10]
скорбот,1,[10]
млость,3,"[10, 12, 15]"
липки,1,[10]
пластир,1,[10]
позначені,1,[10]
зливалось,3,"[10, 15, 17]"
біржі,1,[10]
установі,1,[10]
впливників,1,[10]
обіймають,2,"[10, 15]"
відбирали,1,[10]
технічні,1,[10]
доводилося,1,[10]
гидливо,1,[10]
занурюватись,1,[10]
тактів,1,[10]
насильства,1,[10]
помандрував,1,[10]
ожив,2,"[10, 16]"
тістечок,1,[10]
примара,1,[10]
пристібними,1,[10]
цимбалами,1,[10]
пружного,1,[10]
розголосом,1,[10]
стереотипний,1,[10]
яблуневого,1,[10]
пронизливі,1,[10]
радянській,2,"[10, 14]"
одмикав,1,[10]
відповідальнішим,1,[10]
вквітчане,1,[10]
нагонив,1,[10]
прищепитись,1,[10]
адреси,1,[10]
спілкують,1,[10]
зважуючись,1,[10]
з'ясувати,1,[10]
розділи,1,[10]
приєднав,1,[10]
пролізти,1,[10]
минулий,1,[10]
природне,1,[10]
гарячково,1,[10]
вирощують,1,[10]
передсмертній,1,[10]
надавали,2,"[10, 17]"
червоному,3,"[10, 16, 17]"
врочистість,1,[10]
викрики,1,[10]
геологічними,1,[10]
нечуялевицького,1,[10]
обернутої,1,[10]
дзеркальна,1,[10]
галузі,1,[10]
повстанцемюнаком,1,[10]
стовпища,1,[10]
формені,1,[10]
мовознавця,1,[10]
терміном,1,[10]
бульбашка,1,[10]
являла,1,[10]
ботанічний,1,[10]
алегорично,1,[10]
масова,1,[10]
затіненій,1,[10]
знайдення,2,"[10, 11]"
розтоптати,1,[10]
софія,2,"[10, 17]"
конференції,1,[10]
маячнею,1,[10]
вигуку,1,[10]
розгоном,1,[10]
рушіїв,1,[10]
строкатий,1,[10]
визначилась,1,[10]
херсонщину,2,"[10, 16]"
породжена,1,[10]
іпостасях,1,[10]
присмерк,1,[10]
найнудніших,1,[10]
зошити,2,"[10, 12]"
завісою,1,[10]
переваг,1,[10]
спільністю,1,[10]
зусиль,1,[10]
сумнівів,1,[10]
обороти,1,[10]
тотожна,1,[10]
слухачів,1,[10]
прискорений,1,[10]
спідничку,1,[10]
нервове,2,"[10, 13]"
яскравіше,1,[10]
метушився,1,[10]
наслідок,1,[10]
пов'язуватись,1,[10]
поступові,1,[10]
квитком,1,[10]
кашкетом,1,[10]
оповіщено,1,[10]
об'єктивно,1,[10]
мережку,1,[10]
стримувана,1,[10]
починалась,3,"[10, 15, 17]"
сповнило,1,[10]
червою,1,[10]
поховано,1,[10]
розгадки,1,[10]
розсипаних,1,[10]
непромокальні,1,[10]
непомітним,1,[10]
обмінові,1,[10]
озиралась,1,[10]
жестом,1,[10]
посвідки,1,[10]
невпинним,1,[10]
накупчити,1,[10]
державному,1,[10]
мережило,1,[10]
левко,1,[10]
дванадцятої,1,[10]
святилищі,1,[10]
сервантеса,1,[10]
піднесло,1,[10]
божеством,1,[10]
внутрішньої,1,[10]
перевозу,1,[10]
овації,1,[10]
одержую,1,[10]
етапів,1,[10]
жебракові,1,[10]
разважали,1,[10]
змінено,1,[10]
зайда,1,[10]
посилатись,1,[10]
знесилює,1,[10]
повторення,1,[10]
цеглині,1,[10]
кагарлицькому,1,[10]
здійснюючи,1,[10]
французький,2,"[10, 14]"
накручує,1,[10]
сфотографуйте,1,[10]
проглянув,1,[10]
перебудувати,1,[10]
священним,2,"[10, 15]"
акторського,1,[10]
корисну,1,[10]
довершила,1,[10]
перетвореної,1,[10]
консерватизм,1,[10]
помилково,1,[10]
фарба,2,"[10, 12]"
докучав,1,[10]
діра,2,"[10, 15]"
напишете,1,[10]
штучності,1,[10]
перервами,1,[10]
незалежній,1,[10]
простежити,1,[10]
зайнятих,1,[10]
благородно,1,[10]
здрастуй,3,"[10, 14, 16]"
дужчими,1,[10]
багатоособових,1,[10]
тіста,2,"[10, 17]"
притаманний,1,[10]
списки,1,[10]
тарелях,1,[10]
звичніші,1,[10]
півпідвального,1,[10]
роблений,1,[10]
здійсняться,1,[10]
картоплин,2,"[10, 12]"
щоденника,1,[10]
селянський,1,[10]
непорозумінням,1,[10]
похилість,1,[10]
одягалась,1,[10]
цукерної,1,[10]
гостріше,1,[10]
розкладається,1,[10]
буваючи,1,[10]
перемозі,1,[10]
яловичина,1,[10]
щулячись,1,[10]
знизавши,1,[10]
релігійного,1,[10]
перехресних,1,[10]
борідкою,1,[10]
журналами,1,[10]
кілочок,1,[10]
запльовані,1,[10]
сухість,1,[10]
шлюбний,1,[10]
далини,2,"[10, 11]"
вилупленого,1,[10]
сенека,1,[10]
надихає,1,[10]
скорочений,1,[10]
дисципліни,1,[10]
розрив,1,[10]
згнітилось,1,[10]
викручується,1,[10]
млою,1,[10]
перегуку,1,[10]
штовханом,1,[10]
виряджався,1,[10]
бессарабку,1,[10]
хлопчиська,1,[10]
куріння,1,[10]
тваринна,1,[10]
загусклу,1,[10]
академія,1,[10]
важливе,1,[10]
каталога,1,[10]
кепський,1,[10]
м'якість,1,[10]
захопиться,1,[10]
гази,1,[10]
відхилившись,1,[10]
попервах,2,"[10, 11]"
витвором,1,[10]
лектора,1,[10]
написала,2,"[10, 14]"
образливе,1,[10]
сенеці,1,[10]
шпичаки,1,[10]
характеризують,1,[10]
поєднана,1,[10]
самогон,1,[10]
визначеному,1,[10]
похитнутий,1,[10]
втратою,1,[10]
примірявши,1,[10]
натяками,1,[10]
пропаганду,1,[10]
оповив,1,[10]
мусіньку,1,[10]
узвозу,1,[10]
нестямлячись,1,[10]
передбачають,1,[10]
покриття,1,[10]
ввійдуть,1,[10]
мріями,2,"[10, 13]"
цінними,1,[10]
чужоземну,1,[10]
пересування,1,[10]
візник,1,[10]
крамарі,1,[10]
ботанічному,1,[10]
наносив,1,[10]
писаного,1,[10]
стукаючись,1,[10]
сторінками,1,[10]
журнали,1,[10]
акторок,1,[10]
натяки,1,[10]
новак,1,[10]
завагавшись,1,[10]
спалахові,1,[10]
вимитою,1,[10]
терміни,1,[10]
закурила,1,[10]
претензією,1,[10]
обурюючись,1,[10]
висловитись,1,[10]
подвижника,1,[10]
покидьок,1,[10]
досягнуто,1,[10]
поглибленого,1,[10]
дбання,1,[10]
посада,1,[10]
нехворощі,1,[10]
загусла,1,[10]
здобуток,1,[10]
поширювалось,1,[10]
костюмів,1,[10]
всвідомлював,1,[10]
вісімнадцятого,1,[10]
скриньку,2,"[10, 16]"
johannes,1,[10]
природного,1,[10]
шелестким,1,[10]
благородного,3,"[10, 14, 16]"
профспілці,1,[10]
створених,1,[10]
виконавця,1,[10]
потуплених,1,[10]
славетні,1,[10]
виявлялось,1,[10]
обурює,1,[10]
загускла,1,[10]
шарпнувши,1,[10]
останусь,1,[10]
струхлявілою,1,[10]
збудженої,1,[10]
причинились,1,[10]
книгозбірні,1,[10]
почайни,1,[10]
дезорганізували,1,[10]
чудернацьким,1,[10]
престиж,1,[10]
зміцнення,1,[10]
вдавати,1,[10]
яші,1,[10]
скінчену,1,[10]
маріїнський,1,[10]
верстати,1,[10]
засмокче,1,[10]
наливаючи,2,"[10, 17]"
замиготіло,1,[10]
вщухаючи,1,[10]
жалить,1,[10]
уявляти,1,[10]
прикладу,1,[10]
неозорою,1,[10]
вечірки,1,[10]
виправок,1,[10]
популярна,1,[10]
невдоволено,1,[10]
каламуть,1,[10]
серйозне,1,[10]
наївними,1,[10]
погодились,1,[10]
жвавість,1,[10]
гидкими,1,[10]
ударним,1,[10]
розтавав,1,[10]
найголовнішої,1,[10]
схрещувались,1,[10]
небожа,1,[10]
мережу,1,[10]
здогаду,1,[10]
провіщаючи,1,[10]
настачатиме,1,[10]
комгоспу,1,[10]
французьку,1,[10]
напишіть,2,"[10, 16]"
прикладають,1,[10]
наголошуючи,1,[10]
оплатою,1,[10]
насиченістю,1,[10]
невідклична,1,[10]
волов'ячі,1,[10]
дріб'язок,1,[10]
таємним,1,[10]
лотерея,1,[10]
причинив,2,"[10, 17]"
симетрично,1,[10]
давалось,1,[10]
ідейність,1,[10]
мідною,3,"[10, 12, 16]"
побожний,1,[10]
житньої,1,[10]
поборників,1,[10]
завівши,1,[10]
фізкультуру,1,[10]
вбори,1,[10]
схоплюють,1,[10]
приятелька,1,[10]
закручувало,1,[10]
сполучними,1,[10]
рулетки,1,[10]
юридичної,1,[10]
чайником,1,[10]
розмовах,1,[10]
зніяковілого,1,[10]
бант,1,[10]
копійками,1,[10]
непомильних,1,[10]
неспізнанний,1,[10]
лавру,3,"[10, 11, 17]"
турбують,1,[10]
коефіцієнт,1,[10]
світлючі,1,[10]
навернути,1,[10]
розчув,1,[10]
бараняче,1,[10]
вколю,1,[10]
матеріаліст,1,[10]
відсвіжуючи,1,[10]
умовні,1,[10]
коливаючи,1,[10]
ділянки,1,[10]
сюрприз,1,[10]
рацію,1,[10]
нормально,1,[10]
жорном,1,[10]
непереможну,1,[10]
юнацьким,1,[10]
теоретичного,1,[10]
посидцем,1,[10]
насолоду,1,[10]
бездоганної,1,[10]
верствами,1,[10]
довідною,1,[10]
шевченківського,1,[10]
інтимне,1,[10]
звички,1,[10]
охайно,1,[10]
інституті,1,[10]
звиклий,2,"[10, 15]"
мовами,1,[10]
оповивав,1,[10]
струментів,1,[10]
петитом,1,[10]
номенклатури,1,[10]
опієм,1,[10]
чуднот,1,[10]
тягучок,1,[10]
держкіно,1,[10]
муситиме,1,[10]
каюся,1,[10]
зужиття,1,[10]
посіріле,1,[10]
контролю,1,[10]
екран,1,[10]
оповіданнях,1,[10]
дальшим,1,[10]
проїзд,1,[10]
послужливо,1,[10]
будьяким,1,[10]
яхта,1,[10]
письменникові,1,[10]
найтемнішими,1,[10]
аборти,1,[10]
чукав,1,[10]
галош,1,[10]
марками,1,[10]
входять,2,"[10, 16]"
подихом,1,[10]
побільшене,1,[10]
безмежну,1,[10]
друзями,1,[10]
провалиться,1,[10]
john,1,[10]
ухвалював,1,[10]
краватки,1,[10]
вкладалися,2,"[10, 11]"
рушій,1,[10]
розірвавши,1,[10]
танцювавши,1,[10]
столярня,1,[10]
rockefeller,1,[10]
обопільною,1,[10]
голосною,1,[10]
видноті,2,"[10, 11]"
фінансовий,1,[10]
перемовини,1,[10]
запаморочений,1,[10]
роз'єднались,1,[10]
пересіли,1,[10]
зменшив,1,[10]
накреслювалась,1,[10]
теплоту,1,[10]
повстанці,1,[10]
тифоїдну,1,[10]
галошами,1,[10]
бл,1,[10]
задача,1,[10]
коханками,1,[10]
буяючи,1,[10]
підлогу,3,"[10, 12, 14]"
критикові,1,[10]
купецьку,1,[10]
принижує,1,[10]
києвомогилянська,1,[10]
валізка,1,[10]
почнеш,1,[10]
звій,1,[10]
чуттєвої,1,[10]
мусінькою,1,[10]
світлого,1,[10]
потайного,1,[10]
огиди,2,"[10, 12]"
стенувся,1,[10]
годинниковий,1,[10]
душне,1,[10]
прасувати,1,[10]
пробудженні,1,[10]
абетку,1,[10]
встигла,4,"[10, 11, 15, 17]"
пожарські,1,[10]
масовіше,1,[10]
скорився,1,[10]
lagerlof,1,[10]
нахабного,1,[10]
паркові,1,[10]
проминути,1,[10]
придбавши,1,[10]
малярства,1,[10]
гаптування,1,[10]
визираючи,1,[10]
одвернути,1,[10]
всеукраїнська,1,[10]
меланхолійний,1,[10]
складності,1,[10]
зможуть,1,[10]
прочитаємо,1,[10]
накришив,1,[10]
збудженого,1,[10]
бензол,1,[10]
машинальних,1,[10]
загусклому,1,[10]
марок,2,"[10, 14]"
розмножити,1,[10]
місцевкому,1,[10]
сперечатимусь,1,[10]
письменника,1,[10]
утрачав,1,[10]
інтриги,1,[10]
почастував,2,"[10, 17]"
спазми,1,[10]
засідання,2,"[10, 14]"
написами,1,[10]
серйозна,1,[10]
змісті,1,[10]
ковано,1,[10]
втрачаючи,2,"[10, 15]"
завідувача,1,[10]
ремонтом,1,[10]
вражень,1,[10]
замислених,1,[10]
нестримною,1,[10]
презенти,1,[10]
філософматеріаліст,1,[10]
кочубея,1,[10]
казанком,1,[10]
в'язничної,1,[10]
байрона,1,[10]
поповнення,1,[10]
мусіньчиної,1,[10]
помчав,1,[10]
казкового,1,[10]
посуд,1,[10]
питиме,1,[10]
об'єднуючи,1,[10]
випнулись,1,[10]
хвилинну,1,[10]
оберту,1,[10]
опановувала,1,[10]
чатою,1,[10]
луція,1,[10]
з'явившись,1,[10]
принадні,1,[10]
канву,1,[10]
надійку,1,[10]
посидюща,1,[10]
скорив,1,[10]
візника,1,[10]
невисловне,1,[10]
англійського,1,[10]
симфонічного,1,[10]
доїли,1,[10]
нездара,1,[10]
укріпленнями,1,[10]
загрозливіших,1,[10]
невичерпні,1,[10]
примусили,1,[10]
обов'язковості,1,[10]
застелилася,1,[10]
нахабному,1,[10]
ілюстровані,1,[10]
приїзді,1,[10]
йолопом,1,[10]
вигорський,1,[10]
палким,1,[10]
безкрайню,1,[10]
краб,1,[10]
пружності,1,[10]
дрібнобуржуазні,1,[10]
щоразу,3,"[10, 11, 12]"
охайне,1,[10]
кровопролиття,1,[10]
буфет,1,[10]
паростка,1,[10]
галасливим,1,[10]
пручнувшись,1,[10]
видовиськом,1,[10]
портвейну,1,[10]
порядної,1,[10]
посадовила,1,[10]
паруванням,1,[10]
пихкання,1,[10]
крамницею,1,[10]
протестувати,1,[10]
ліжках,1,[10]
ритмічною,1,[10]
тригонометричних,1,[10]
приємної,1,[10]
забаганка,1,[10]
турботою,1,[10]
борисе,1,[10]
товариств,1,[10]
витрачав,1,[10]
переймаючись,1,[10]
торкалась,1,[10]
випаровує,1,[10]
відбулися,1,[10]
електрику,1,[10]
всесвітнє,2,"[10, 17]"
виступить,1,[10]
реакції,1,[10]
михайлівський,1,[10]
піджак,1,[10]
філософа,1,[10]
захворіти,1,[10]
запасливий,1,[10]
повисмикувалась,1,[10]
безумців,1,[10]
упираючись,1,[10]
печатку,2,"[10, 11]"
попелом,3,"[10, 11, 16]"
тишею,1,[10]
утоншиться,1,[10]
зшитків,1,[10]
заліпив,1,[10]
житлоспілки,1,[10]
куцої,1,[10]
житиметься,1,[10]
зареєструватись,1,[10]
цмокнув,2,"[10, 17]"
подарунка,1,[10]
досвіді,1,[10]
прихильником,1,[10]
естетичне,1,[10]
міцніли,1,[10]
підвальна,2,"[10, 12]"
первісному,1,[10]
їстівного,1,[10]
низками,2,"[10, 17]"
доклав,2,"[10, 11]"
неприродно,1,[10]
випікає,1,[10]
сварках,1,[10]
прикладаєш,1,[10]
заклавши,3,"[10, 15, 17]"
з'явилась,2,"[10, 14]"
речовий,2,"[10, 12]"
мендес,1,[10]
зморила,1,[10]
гидотність,1,[10]
задорожнього,1,[10]
моторошна,1,[10]
занедбана,1,[10]
лишаюсь,1,[10]
правилами,1,[10]
курящий,1,[10]
ідеалом,1,[10]
дістаєш,1,[10]
голосіївський,1,[10]
вичовгана,1,[10]
скупатись,1,[10]
ширми,1,[10]
руйнував,1,[10]
операцій,1,[10]
поспієте,1,[10]
фізичне,1,[10]
позіхають,1,[10]
левків,1,[10]
цирку,1,[10]
наколішки,1,[10]
гнилизні,1,[10]
друкарської,1,[10]
війнуло,3,"[10, 11, 15]"
заспокойтесь,3,"[10, 14, 16]"
побоюється,1,[10]
душних,1,[10]
повторювалась,1,[10]
переставали,2,"[10, 17]"
зародження,1,[10]
надійко,1,[10]
звогченому,1,[10]
полином,3,"[10, 12, 17]"
курявою,1,[10]
почекальні,1,[10]
марципаном,1,[10]
павловичу,1,[10]
задовольнив,1,[10]
підґрунтям,1,[10]
щастить,2,"[10, 11]"
синонімом,1,[10]
уявлення,1,[10]
політику,1,[10]
кров'ю',1,[10]
зажадав,2,"[10, 11]"
визвався,1,[10]
розвивався,1,[10]
насмілившись,1,[10]
приємну,1,[10]
танув,2,"[10, 12]"
зшитки,1,[10]
фейєрверк,1,[10]
крапками,1,[10]
денікінців,1,[10]
вислови,1,[10]
ссатимете,1,[10]
запрацювався,1,[10]
доведена,1,[10]
повідомила,1,[10]
призначене,1,[10]
міцному,1,[10]
випадаючи,1,[10]
астрономи,1,[10]
умовами,1,[10]
пацанка,1,[10]
збіги,1,[10]
